"Date","Price","Open","High","Low","Vol.","Change %"
"04/09/2018","16.529","16.420","16.540","16.295","74.34K","1.02%"
"04/06/2018","16.362","16.355","16.475","16.240","84.72K","0.04%"
"04/05/2018","16.355","16.290","16.395","16.150","76.78K","0.62%"
"04/04/2018","16.254","16.400","16.515","16.220","100.82K","-0.84%"
"04/03/2018","16.392","16.590","16.605","16.340","87.05K","-1.68%"
"04/02/2018","16.672","16.300","16.680","16.300","79.43K","2.48%"
"03/29/2018","16.268","16.280","16.340","16.195","76.95K","0.09%"
"03/28/2018","16.253","16.515","16.560","16.220","95.08K","-1.74%"
"03/27/2018","16.541","16.690","16.810","16.465","98.53K","-0.86%"
"03/26/2018","16.684","16.560","16.795","16.525","81.05K","0.62%"
"03/23/2018","16.582","16.375","16.675","16.375","98.38K","1.19%"
"03/22/2018","16.387","16.565","16.610","16.330","81.21K","-0.19%"
"03/21/2018","16.419","16.165","16.665","16.155","111.65K","1.45%"
"03/20/2018","16.185","16.310","16.340","16.100","69.86K","-0.86%"
"03/19/2018","16.325","16.305","16.345","16.200","65.29K","0.33%"
"03/16/2018","16.272","16.385","16.495","16.205","73.37K","-0.91%"
"03/15/2018","16.422","16.530","16.580","16.370","71.44K","-0.70%"
"03/14/2018","16.537","16.595","16.670","16.515","59.93K","-0.54%"
"03/13/2018","16.627","16.535","16.690","16.465","70.99K","0.55%"
"03/12/2018","16.536","16.605","16.635","16.430","50.51K","-0.43%"
"03/09/2018","16.608","16.510","16.710","16.330","91.56K","0.65%"
"03/08/2018","16.500","16.505","16.575","16.430","67.64K","0.04%"
"03/07/2018","16.494","16.810","16.890","16.435","93.85K","-1.73%"
"03/06/2018","16.784","16.420","16.895","16.410","99.50K","2.27%"
"03/05/2018","16.412","16.530","16.620","16.370","55.30K","-0.33%"
"03/02/2018","16.466","16.495","16.595","16.400","73.63K","1.17%"
"03/01/2018","16.276","16.430","16.565","16.160","100.44K","-0.80%"
"02/28/2018","16.407","16.440","16.520","16.360","58.94K","-0.16%"
"02/27/2018","16.434","16.665","16.720","16.340","102.32K","-0.70%"
"02/26/2018","16.550","16.470","16.720","16.430","68.12K","0.40%"
"02/23/2018","16.484","16.590","16.605","16.465","55.04K","-0.62%"
"02/22/2018","16.587","16.475","16.665","16.365","78.53K","-0.18%"
"02/21/2018","16.617","16.420","16.745","16.340","91.97K","1.09%"
"02/19/2018","16.438","16.600","16.690","16.385","113.72K","-1.64%"
